,userid
2268,81672131
2270,21535912
2271,94379559
2274,97659219
2293,145534973
2297,42928788
2300,87071236
2301,106057222
2302,79411077
2318,64369759
2324,87832209
2327,49350285
2336,110881546
2341,69856757
2348,203492188
2349,71868890
2350,159371621
2352,70591968
2357,117657402
2358,75995878
2359,27139623
2361,90962335
2363,23608098
2365,60210313
2366,69828237
2367,69849141
2369,137977132
2370,9946133
2372,156079601
2373,12774878
2374,101508611
2375,104800393
2376,69467127
2378,116482142
2379,74497511
2380,38342935
2381,152419713
2383,75182781
2384,95177433
2385,44370809
2387,59087317
2389,70040501
2394,69805535
2395,81392790
2399,22283916
2400,117552823
2402,69942754
2404,69458130
2406,115826231
2408,59756932
2410,76303426
2414,56333620
2415,57798235
2417,93575977
2420,162649407
2421,69857045
2422,148510973
2423,32592631
2424,97298878
2429,107417121
2433,86540
2435,195962272
2437,92593907
2438,91405713
2441,126233699
2442,51699341
2445,87601770
2446,18897058
2447,69422402
2449,70995384
2450,82279854
2451,56219610
2453,49372322
2454,69305825
2459,37490443
2460,36791999
2461,151465345
2462,69658686
2469,231416829
2470,139016142
2472,196749226
2473,74855005
2475,118541865
2483,124070622
2489,303467308
2494,48525807
2498,15095770
2500,209820105
2502,164805863
2511,241862248
2512,106099216
2513,182426216
2521,52321307
2522,116494569
2523,64137709
2530,32644336
2536,119236075
2549,198996945
2553,127555883
2554,155945477
2555,160288335
2561,198804975
2562,128207897
2585,70751383
2587,211544205
2590,201169447
2592,138279635
2600,86733992
2602,122847338
2610,252345719
2615,159946174
2616,85935348
2617,150751526
2618,108560573
2619,128790593
2622,108877388
2624,77870593
2628,160640171
2643,176682744
2644,159211669
2645,131227682
2648,175447188
2653,104109817
2657,224070533
2658,8259307
2675,119310413
2689,53779471
2695,112907304
2696,162740609
2698,7440594
2699,191477470
2700,20772968
2703,162421622
2705,162747179
2709,72627862
2723,296260221
2730,36978196
2731,169929928
2736,116411567
2738,285860790
2739,297650024
2740,80128229
2741,170485590
2748,207424334
2755,63678282
2756,122658341
2757,150305902
2758,132196353
2759,46030552
2760,143877335
2762,165216496
2764,100894366
2769,107984181
2771,151470260
2774,96149161
2776,39899978
2783,137475392
2784,50797633
2787,131463112
2789,127813787
2790,105028982
2793,26861985
2795,683019
2797,200364872
2799,156946266
2801,103638409
2805,167511712
2806,82686146
2809,101695880
2812,159850817
2817,40280688
2818,99255590
2819,125589748
2822,114024939
2824,114912926
2825,53711793
2828,77113494
2829,124641717
2830,94120095
2833,55334302
2836,160373639
2837,129885479
2839,85046830
2840,107452765
2846,178574781
2848,102295765
2851,132748085
2853,104900462
2862,25337857
2864,174507916
2872,166081897
2874,89523414
2875,171160183
2876,82287546
2880,33651880
2881,158608850
2882,144532046
2883,170068207
2890,105159791
2894,197364659
2896,216849769
2898,197657608
2900,146762928
2901,113124720
2903,197385611
2910,164097534
2911,180501401
2915,145512685
2916,104159428
