,Name,IsFree,Metacritic,PCMinReqsText,PriceFinal,ReleaseDate,DLCCount
12741,CyberLink PhotoDirector 8 Ultra,False,0,Minimum:OS: Microsoft Windows 10 8.1/8 7Processor: Intel Pentium D 3.0 GHz CPU with hyper-threading or equivalent AMD CPUMemory: 2 GB RAMGraphics: 128 MB VRAM is requiredStorage: 1 GB available space,99.99,Nov 7 2016,0
1046,Serious Sam Classic: The First Encounter,False,87,MinimumOS: Windows 95 OSR2 Windows 98 Windows 98SE Windows ME Windows NT 4.0 (with Service Pack 5) Windows 2000 Windows XP Windows Vista or Windows 7 operating systemProcessor: AMD K6-3 400MHz Pentium II or Celeron-A 300MHzMemory: 64MBGraphics: full OpenGL compliant 3D acceleratorHard Drive: 600MB free hard disk spaceSound: 100% Windows compatible sound card,99.99,Mar 22 2010,0
12740,CyberLink PowerDirector 15 Ultra,False,0,Minimum:OS: Microsoft Windows 10 8/8.1 7 (64 bit OS recommended)Processor: Intel Core(tm) i-series or AMD Phenom(r) II and aboveMemory: 2 GB RAMGraphics: 128 MB VGA VRAM or higherStorage: 7 GB available space,99.99,Nov 28 2016,0
10997,MAGIX Movie Edit Pro Plus Steam Edition,False,0,Minimum:OS: Windows 7 (64-bit)Processor: 2.4 GHzMemory: 2 GB RAMGraphics: Onboard minimum resolution 1280 x 768Storage: 2 GB available spaceSound Card: Internal sound cardAdditional Notes: Supported import formats Video: (DV-)AVI HEVC/H.265* M(2)TS MJPEG MKV MOV MPEG-1/2/4 MXV VOB WMV(HD) Audio: MIDI MP3 OGG Surround sound/5.1 WAV WMA Image: BMP GIF JPEG TGA TIF  Supported export formats Disc: DVD Blu-ray Disc AVCHD disc Video: (DV-)AVI HEVC/H.265* MJPEG MOV MPEG-1/2/4 MXV WMV(HD) Audio: MP3 Surround sound/5.1 WAV Image: BMP JPEG  *HEVC encoding requires fee-based activation. MP3 export requires installation of Windows Media Player Version 10 or higher.,99.99,Sep 5 2016,0
5124,CyberLink PowerDVD 15 Ultra,False,0,Minimum:OS: Microsoft Windows 108.1/8 7 VistaProcessor: Blu-ray Disc playback: Intel Core 2 Duo E6750 (2.66GHz) AMD Phenom 9450 (2.10GHz) or aboveMemory: 2 GB RAMGraphics: Intel HD Graphics ATI Radeon HD 5000 NVIDIA GeForce 9500GT or aboveDirectX: Version 9.0Storage: 500 MB available space,99.99,Jul 22 2015,0
8225,MAGIX Samplitude Music Studio 2016,False,0,Minimum:OS: Microsoft Windows  Vista | 7 | 8 | 8.1| 10Processor: 2 GHzMemory: 2 GB RAMGraphics: Onboard minimum resolution 1280 x 768Storage: 10 GB available spaceSound Card: OnboardAdditional Notes: Supported import formats:  Disc: Audio CD Data CD/DVD  Audio: MIDI standard formats (MID GM GS XG) WAV WAV with codec AAC requires Microsoft Media Player MP3 OGG Vorbis AIFF FLAC; Supported export formats: Disc: Audio CD Data CD/DVD Audio: MIDI standard formats (MID) WAV WAV with codec AAC requires Microsoft Media Player  MP3 requires fee-based activation OGG Vorbis AIFF FLAC,99.99,Nov 19 2015,0
3308,Indie Graphics Bundle - Royalty Free Sprites,True,0,Minimum:OS: Windows 2000 / XP / Vista / 7 / 8Processor: 1.5 GHzMemory: 256 MB RAMGraphics: 64 MBStorage: 10 GB available spaceAdditional Notes: Images require Game Engine or Image Editor to work with,99.99,May 6 2014,0
6240,CopperCube 5 Game Engine,False,0,Minimum:OS: Windows XP Vista 7 8 8.1 10 or laterProcessor: Intel Celeron Athlon Sempron or betterMemory: 1 GB RAMGraphics: Direct 3D 9 compatible or betterDirectX: Version 9.0cStorage: 60 MB available space,99.99,May 1 2015,1
2322,Z3TA+ 2,False,0,Minimum:OS: Windows 7 SP1 (32/64-bit) Windows 8 (32/64-bit) Windows 10 (32/64-bit)Processor: Intel Core 2 Duo or newer processorMemory: 1 GB RAMGraphics: 1280x800 minimum resolution 32-bitStorage: 200 MB available spaceSound Card: VST 2.4/3 + AAX require compatible host software. ASIO compatible sound device required for Performance Microhost.Additional Notes: MIDI controller required for the Performance Microhost to be used as a standalone instrument,99.99,Sep 9 2013,9
2119,articy:draft SE,False,0,Minimum:Operating System:Windows Vista or above        Processor:2 GHz dual-core        Memory:4 GB RAM        Graphics:graphics card with at least 1 GB dedicated memory        Hard Drive:300 MB HD Space        Additional:Windows 10 Windows 8/8.1 Windows 7 Windows Vista,99.99,Feb 27 2013,1
